object_id,slot,geometry_1to5,texture_1to5,floaters,holes,flat_collapse,janus_duplicate,front_only_texture,notes
B2_19,H,2,2,,,,,,no bottom 
B2_19,I,3,1,,,,,,
B2_20,A,4,4,,1,,,,
B2_20,B,4,4,,1,,,,
B2_20,C,3,3,,1,,,,
B2_20,D,3,2,,,,,,
B2_20,E,3,3,,,,,,
B2_20,F,3,3,,1,,,,
B2_20,G,3,2,,1,,,,
B2_20,H,3,3,,1,,,,
B2_20,I,3,2,,1,,,,
B2_22,A,4,3,,,,,,
B2_22,B,5,4,,,,,,
B2_22,C,4,5,,1,,,,
B2_22,D,4,5,,1,,,,not top -  hole 
B2_22,E,4,5,,1,,,,not top -  hole 
B2_22,F,4,3,,,,,,
B2_22,G,5,4,,,,,,
B2_22,H,4,5,,1,,,,
B2_22,I,5,4,,,,,,
B2_23,A,4,4,,1,,,,
B2_23,B,4,4,,,,,,
B2_23,C,3,3,,,,,,
B2_23,D,4,4,,1,,,,
B2_23,E,4,5,,,,,,
B2_23,F,3,3,,,,,,
B2_23,G,4,4,,1,,,,
B2_23,H,4,5,,,,,,
B2_23,I,4,5,,1,,,,
