object_id,pipeline,opposite_view_clip_max,opposite_view_clip_mean,degenerate_view_pairs,min_coverage,max_coverage,sat_ratio,chroma_var_ratio
B2_08,trellis2_sam3_2k,0.9377,0.9209,,0.3637,0.4056,0.7925,0.6927
B2_08,trellis2_sam3_4k,0.9261,0.8936,,0.3637,0.4056,0.8126,0.5749
B2_08,trellis_rembg,0.9309,0.9138,,0.2945,0.6728,0.8396,0.7062
B2_08,trellis_sam3,0.9169,0.906,,0.3439,0.4024,0.5026,0.612
B2_09,hunyuan_rembg,0.9543,0.9147,,0.3267,0.363,0.7531,0.8094
B2_09,hunyuan_sam3,0.8839,0.8532,,0.3454,0.3816,0.5178,0.6571
B2_09,sam3d_sam3,0.9566,0.9061,,0.3746,0.4212,0.8265,0.7357
B2_09,trellis2_rembg_2k,0.9657,0.9371,,0.4509,0.4588,0.9182,0.5988
B2_09,trellis2_rembg_4k,0.9384,0.9276,,0.4508,0.4587,0.8821,0.7512
B2_09,trellis2_sam3_2k,0.9531,0.9196,,0.435,0.4652,0.8121,0.7091
B2_09,trellis2_sam3_4k,0.9387,0.9141,,0.4355,0.4652,0.8545,0.7061
B2_09,trellis_rembg,0.9486,0.9206,,0.3496,0.3772,0.7542,0.5609
B2_09,trellis_sam3,0.9678,0.9331,,0.3464,0.4103,0.8604,0.5718
B2_10,hunyuan_rembg,0.9013,0.8558,,0.2806,0.4471,0.8236,0.4711
B2_10,hunyuan_sam3,0.9396,0.9172,,0.2429,0.4222,0.8182,0.5998
B2_10,sam3d_sam3,0.9525,0.9468,,0.2859,0.47,0.272,0.6523
B2_10,trellis2_rembg_2k,0.907,0.9066,,0.4032,0.6029,0.7209,0.5818
B2_10,trellis2_rembg_4k,0.9504,0.9328,,0.4032,0.6028,0.8477,0.7027
B2_10,trellis2_sam3_2k,0.9206,0.8912,,0.4791,0.5933,0.7206,0.8496
B2_10,trellis2_sam3_4k,0.9672,0.9362,,0.4792,0.5935,0.7291,0.8278
B2_10,trellis_rembg,0.8888,0.8843,,0.341,0.5443,0.7584,0.3389
B2_10,trellis_sam3,0.9228,0.9154,,0.2379,0.4744,0.6499,0.3311
B2_11,hunyuan_rembg,0.9245,0.8784,,0.3102,0.5259,0.8921,0.5217
B2_11,hunyuan_sam3,0.9122,0.8763,,0.3799,0.56,0.8985,0.5862
B2_11,sam3d_sam3,0.9199,0.9186,,0.2933,0.4311,0.8061,0.6888
B2_11,trellis2_rembg_2k,0.9261,0.9194,,0.4555,0.6292,0.8272,0.6119
B2_11,trellis2_rembg_4k,0.9158,0.9005,,0.4554,0.629,0.8375,0.478
B2_11,trellis2_sam3_2k,0.9328,0.9248,,0.4778,0.67,0.8269,0.4458
B2_11,trellis2_sam3_4k,0.9075,0.9069,,0.4779,0.6699,0.8043,0.5087
B2_11,trellis_rembg,0.9562,0.9183,,0.3623,0.5931,0.794,0.5294
B2_11,trellis_sam3,0.964,0.9198,,0.3924,0.5524,0.8803,0.6214
B2_12,hunyuan_rembg,0.9058,0.8766,,0.5325,0.538,0.5507,0.3664
B2_12,hunyuan_sam3,0.9309,0.8467,,0.2044,0.3789,0.6094,0.6337
